question,a,b,c,d,answer,source,id
"Heart muscle, true are all except:",Act as syncitium,Has multiple nuclei,Has gap junctions,Has branching,1,MEDMCQA,237
The use of stress breaker in modern dentistry is avoided because,It affects abutment more,It affects alveolar ridge,It affects both abutment and alveolar ridge,None of the above,1,MEDMCQA,238
The deepest layer of cervical fascia is:,Vertebral,Carotid sheath,Deep fascia,Prevertebral fascia,3,MEDMCQA,239
Arrange the following layers of epidermis from surface to deep layer - CorneocytesMerkel cellsMelanocytesLangerhans cells,Corneocytes>merkel cell>melanocytes>langerhans cells,Merkel cells>corneocytes>melanocytes>langerhans cells,Melanocytes >merkel cells>corneocytes>langerhans cells,corneocytes>>langerhans cells>melanocytes > merkel cells,3,MEDMCQA,240
"About giant cell tumor, all are true except:",Commonly presents in the 20-40 year age group,Matrix consists of proliferating mononuclear cells,Osteoclast giant cells constitute the proliferative component of the tumor,It is a benign tumor which may have lung metastasis,2,MEDMCQA,241
A 25-year-old lady with submucosal fibroid was undergoing myomectomy. The surgeon was using 1.5 yo glycine as irrigating fluid for the cavity. During the surgery the nurse informs the surgeon that there is a 500m1 fluid deficit. What is the next step to be done?,Stop the'surgery,Change the fluid to normal saline,Continue the surgery with careful monitoring of fluid status,Give furosemide to the patient and continue surgery,2,MEDMCQA,242
Which of the following is not a component of quick SOFA (qSOFA) scoring?,Bilateral undilated pupils,Altered Mentation,Glasgow Coma Score,SBP <= 100 mm Hg,0,MEDMCQA,243
Which of the following is not true about latent phase of labour?,According to ACOG it stas after 3-4 cm cervical dilatation but they are planning to increase it to 5 cm,Begins at the end of active phase and is a pa of 1st stage of labour,Patient may present with false labour due to mild cramps,Stas with contractions of the uterus,2,MEDMCQA,244
A patient underwent extraction of 3rd molar experiences pain in socket on 3rd day; socket is tender with no fever and swelling: what treatment should be done,Irrigation of socket with sedative placement and analgesic,Curettage of socket and induces bleeding,Left untreated and observe for few days,Start antibiotics followed by curettage of socket,0,MEDMCQA,245
A 15-year-oldboy presented with headache and blurring of vision. On examination there was diptopia on looking towards left in the right eye.What is your diagnosis?,Tb meningitis,Internuclear ophthalmoplegia,Cranial neuritis,Demyelination,1,MEDMCQA,246
Composition of KRI paste is:,Calcium hydroxide + Iodoform.,Iodoform+ calcium hydroxide + menthol.,Iodoform + camphor + parachlorophenol + Menthol.,Parachlorophenol + Camphor + menthol.,2,MEDMCQA,247
A 32 weeks pregnant diabetic female with NST non reactive. What should be done next?,Induction of labour,CS,Do NST after 1hr,Proceed to biophysical profile,3,MEDMCQA,248
Tooth structure cutting is preceded by crack propogation due to tensile forces known as:,Brittle fracture,Ductile fracture,Shear fracture,All of the above,0,MEDMCQA,249
Which of the following is the common factor for the initiation of both dental caries and periodontal disease,bacterial plaque,lactic acid,calculus,no common factor,0,MEDMCQA,250
What is the use of the given instrument:,To hold bone and plate,To hold bone fragments with traction,To cut the bone,For creating a gap in wound,0,MEDMCQA,251
Hypercementosis of whole dentition is seen in,Hypophosphatasia,Achondroplasia,Pagets disease,Fibrous dysplasia polyostotic type,2,MEDMCQA,252
The following condition do not create gingival defects necessitating gingivoplasty except,Acute necrotizing ulcerative gingivitis,Desquamative gingivitis,Erosive lichen planus,Acute herpetic gingivostomatitis,0,MEDMCQA,253
Which of the following statement is not true about glomerular basement membrane?,Type III collagen is present,Glomerular basement membrane is stained with PAS,Glomerular basement membrane acts as filtration barrier,Glomerular basement membrane is involved in charge dependent filtration,0,MEDMCQA,254
Which of the following binds mRNA with ribosome in prokaryotes?,tRNA,Shine Dalgarno sequence,7 methyl guanosine capping,Poly A tail,1,MEDMCQA,255
A neonate presented with jaundice on first day of life. His mother's blood group is `0' positive. How will you manage this patient?,Observe only as it is mostly physiological jaundice,Exchange transfusion,Liver function tests and liver biopsy as it is mostly due to cholestasis,Phototherapy,3,MEDMCQA,256
"A neonate on routine examination at bih was found to have hepatomegaly. Rest of the examination was essentially unremarkable. On investigations, Anti-HCMV antibodies were found to be positive. What sequelae in later life is the child at risk of?",Renal failure,Mental retardation,Hepatic fibrosis,Sensorineural hearing loss,3,MEDMCQA,257
"Excessive occlusal forces can be superimposed in all cases, except",Normal periodontium with normal height of bone,Normal periodontium with reduced height of bone,Marginal periodontitis with reduced height of bone,Marginal periodontitis with normal height of bone,3,MEDMCQA,258
"An 18 years old girl presents with primary amenorrhea. On evaluation, she was having a karyotype of 45X0 and infantile uterus. What should he done next?",H to induce pubey,Vaginoplasty,Clitoroplasty,Bilateral gonadectomy,3,MEDMCQA,259
Which of the following features is not seen in Crouzon syndrome?,Midface hypoplasia,Syndactyly,Beak shaped nose,Ocular hypertelorism,1,MEDMCQA,260
Which of the following statements about tedizolid is true?,It causes peripheral neuropathy as an adverse effect,It is active against gram positive organisms,It has poor oral bioavailability,It is active against anaerobes,1,MEDMCQA,261
Interruption of the optic chiasm will lead to:,Bitemporal hemianopia,Binasal hemianopia,Homonymous hemianopia,Normal vision,0,MEDMCQA,262
True about Arrangement of hydroxyapatite crystals in Enamel rods?,In center orientation of hydroxyapatite crystal is 0 degree,Orientation of hydroxyapatite crystals at periphery is 45 degree,Both,None,2,MEDMCQA,263
A patient reported with Disto-oclusal amalgam restoration in 47 & complaints of sticking of food in interproximal area. Most common reason is?,Broad contact area Buccolingually,Wide contact area occlugingivaly,Contact area too occlusively,Contact area too gingivally,3,MEDMCQA,264
Which of the following is the only complete cailage ring in the respiratory tree?,Cricoid cailage,Thyroid cailage,Cunieform cailage,Epiglottis,0,MEDMCQA,265
Which of the following is an example of placebo?,Herbal medication with no known effect,Physiotherapy,Sham surgery,Cognitive behavioral therapy,2,MEDMCQA,266
"X,Y,Z are the ee ions pet meaule..\\ and V=-30. If at resting membrane potential (RMP), when there is no net electro genic transfer, what is the value of Z?",20,-20,80,-80,2,MEDMCQA,267
Phase-contrast microscopy is based on the principle of:,Different refractive indices of object,Different reflective indices of object,Light scattering,Light attenuation,0,MEDMCQA,268
Restriction endonuclease cuts at,AAGGAA,AAGAAG,AAGTTC,AAGCTT,3,MEDMCQA,269
Macrocephaly is seen in which of the following syndromes ?,Metachromatic leucodystrophy,Adrenoleukodystrophy,Canavan's disease,Krabbe's disease,2,MEDMCQA,270
A material turns to liquid on applying critical shear stress. This type of flow is called as?,Newtonian body,Bingham body,Dilatant,Pseudoplastic,1,MEDMCQA,271
Vitamin D deficiency,Does not affect enamel,Does not affect dentin,Does not affect tooth development,All of the above.,1,MEDMCQA,272
Absence of which of the given milestones in a 3 year old child should be called delayed development?,Hopping on one leg,Drawing square,Feeding by spoon,Catching a ball reliably,2,MEDMCQA,273
Effective strategies to decrease the risk of post puncture dural headache are all except:,Use of small bore needle,Use of atraumatic needle,Supplementation of fluids,Replacement of stylet prior to removal of needle,3,MEDMCQA,274
"A person was advised by his ohopedic surgeon to get regular dressing of his wound done. But the patient did not give much care. During follow-up, patient was repeatedly told to get the dressing done timely but patient didn't do the dressing himself, saying that he was busy. Finally the wound enlarged and the underlying bone developed osteomyelitis. Which of the following statement is true regarding above-mentioned situation?","Doctor is guilty under ""Last clear chance"" doctrine","Doctor is not guilty under ""Contributory negligence""",Doctor is punishable under avoidable negligence,Doctor is guilty as he prescribed wrong medicines,0,MEDMCQA,275
Which of the following drugs can be given in renal failure safely?,Saxagliptin,Linagliptin,Vildagliptin,Sitagliptin,1,MEDMCQA,276
Endotoxin of gram -ve bacteria that do not cause pathogenesis of natural disease,Mycobacterium,Klebsiella,Vibrio,E.coli,2,MEDMCQA,277
A 13 year old girl with soft painful swelling on posterior aspect of thigh. Color Doppler showed multiple venous channels without any major arterial feeder. All of the following are liquid embolizing agents except,Cyanoarylate,Sodiumtetradecyl sulphate,Polyvinyl alcohol,Absolute alcohol,2,MEDMCQA,278
"A pregnant female, 38 years old, had a child with Down's syndrome. How do you assess the risk of Down's syndrome in the present pregnancy:",Material alpha-feto protein,Material HCG,USG,Chorionic villous biopsy,3,MEDMCQA,279
"Of all the solvent used to dissolve Gutta Percha, safest & efficacious G.P. solvent is?",Halothane,Chloroform,Methylchloroform,Xylene,1,MEDMCQA,280
A 14 year girl presented with absent thelarche.On examination uterus was present. Investigations showed high FSH. karyotype is XY.What is the probable diagnosis?,Gonadal dysgenesis,Kallman syndrome,Androgen insensitivity syndrome,Adrenal hyperplasia,0,MEDMCQA,281
The high cou has the power to stay the execution of a pregnant woman according to which section of Criminal Procedure Code?,416 CrPC,417 CrPC,418 CrPC,419 CrPC,0,MEDMCQA,282
Most common cause of recurrent laryngeal nerve palsy is:,Bronchogenic carcinoma,Thyroid surgery,Mediastinal tumors,Pancoast tumor,1,MEDMCQA,283
Which one of the following drugs are not used in hea failure?,Metoprolol,Nesiritide,Trimetazidine,Sacubitril,2,MEDMCQA,284
"The green stains frequently seen on children's teeth are
caused by",Materia alba,Enamel defects,Dentinal defects,Chromogenic bacteria,3,MEDMCQA,285
Autoinnoculation is seen with?,Ameloblastoma,Papilloma,Benign pemphigoid,Leukoplakia,1,MEDMCQA,286
"A patient from,nqh-eastern states was diagnosed to have infection with P. falciparum malaria. What is the most appropriate drug for this patient?",Aemether plus lumefantrine,Sulfadoxine plus pyrimethamine,Chloroquine,Mefloquine,0,MEDMCQA,287
"A 40 years old female is diagnosed to have epilepsy and is staed phenytoin and valproate. Four weeks later, she developed a diffuse rash all over her body, which gradually disappeared on stopping both the drugs. In how many weeks, will the rash reappear when she is re-challenged with phenytoin and valproate?",1 day,1 week,2 weeks,4 weeks,0,MEDMCQA,288
Immune thrombocytopenic purpura (ITP) is a complication observed with which of the following vaccines? (Asked twice),MMR,HIV conjugate polysaccharide vaccine,Typhoid Vi polysaccharide vaccine,Influenza vaccine,0,MEDMCQA,289
Which of the following hormones has a permissive action at the onset of pubey?,Insulin,Leptin,GnRH,Growth hormone,1,MEDMCQA,290
Undifferentiated mesenchymal cells found in pulp are:,Multipotent,Totipotent,Polypotent,Monopotent,0,MEDMCQA,291
The most appropriate method to differentiate between a dentigerous cyst and an ameloblastoma is through:,Radiographic examination,Aspiration cytology,Microscopic examination,Clinical features,2,MEDMCQA,292
Antiemetic action is due to which propey of metoclopramide?,5-HT3 antagonist,"D, antagonist",5-HT4 agonist,M3 antagonist,1,MEDMCQA,293
Port wine stains are seen in:,Nevus,Haemangionna,Melanoma,All the above,1,MEDMCQA,294
Average Diameter of Apical foramen in an 18-25 years old adult is,400 micrometer,502 micrometer,681 micrometer,602 micrometer,1,MEDMCQA,295
Continues use of vibrator can leads to,Random nodule formation,Surface roughness,Surface irregularities,Discoloration,1,MEDMCQA,296
Lymph from tongue not drained by following vessels,Central,Ventral,Posterior,Marginal,1,MEDMCQA,297
"26 years old female suffers from PPH on her second postnatal day. Her APTT and PTT are prolonged while BT, PT and platelet counts are normal. Likely diagnosis is:",Acquired hemophilia,Lupus anticoagulant,DIC,Inherited congenital hemophilia.,0,MEDMCQA,298
What is the drug of choice for precocious pubey in girls?,GnRH analogues,Cyproterone acetate,Danazol,Medroxyprogesterone acetate,0,MEDMCQA,299
Which of the following is developed from the 1st arch:,Stylohyoid ligament.,Spenomandibular ligament.,Stapes.,Styloid process.,1,MEDMCQA,300
The carat for Au foil used for restorations is:,18,20,22,24,3,MEDMCQA,301
Zone of stimulation contains all except:,Fibroblasts,Osteoclasts,Osteoblasts,New bone formation,1,MEDMCQA,302
Biopsy of a clinically suspicious lesion is negative. The most appropriate treatment is,Tell patient no malignancy,Repeat the biopsy,Observe the patient for twelve months,Observe the patient for three months,1,MEDMCQA,303
A 10 year old boy presents with midline swelling arising from cerebellum the diagnosis is –,Astrocytoma,Glioblastoma multiforme,Ependymoma,Medulloblastoma,3,MEDMCQA,304
"In a coho study, to study association between factor and disease, the risk ratio was calculated to be equal to 1. What does this signifies?",There is no association present between the factor and the disease,There is positive association between the factor and the disease,There is negative association between the factor and the disease,Data insufficient to comment,0,MEDMCQA,305
Intraocular pressure in pregnancy,Increases,Decreases,Remains same,None,1,MEDMCQA,306
GPCR that does not act through opening of potassium channels is?,Muscarinic M2 receptor,Dopamine D2 receptor,Serotonin 5 HT1 receptor,Angiotensin 1 receptor,3,MEDMCQA,307
Which of the following is characteristic of T.B. otitis media -,Marginal perforation,Attic perforation,Large central perforation,Multiple perforation,3,MEDMCQA,308
Crab claw separator is,Farrier separator,Elliot separator,Both,None,1,MEDMCQA,309
"In Galactorrhoea--amenorrhea syndromes, which is the investigation you should advise (apa from serum prolactin)?",TSH,LH,hCG,Urinary ketosteroids,0,MEDMCQA,310
Strain is defined as:,An applied load or force,A deformation resulting from an applied load,An external force opposing an applied load,An internal force opposing an applied Load,1,MEDMCQA,311
A nurse got accidental prick from the HIV infected needle. Which of the following is T/F regarding the management of this nurse?a. Lamivudine used as monotherapy in post-exposure prophylaxis (t/f)b. Washing hands advised(t/f)c. Viral markers at the time of prick(t/f)d. Repeat serology at 6 weeks (t/f),"b,c,d true a false","a, b true c,d false","b,c true a,d false",All true,0,MEDMCQA,312
"In Mount and Hume classification, what will be the site size of the following lesion?",2.1,2.2,3.1,3.2,2,MEDMCQA,313
"To prepare a cavity on a mandibular first molar in a child
we should give:",Mental nerve block,Lingual nerve block,Inferior alveolar nerve block and long buccal nerve block,Long buccal nerve block,2,MEDMCQA,314
Which of the following is not a characteristic feature of multiple myeloma?,Increased Ig levels in serum,Positive ANA,Plasmacytosis,M spike on electrophoresis,1,MEDMCQA,315
Which of the following cannula is used in patient with severe dehydration and diarrhea?,Blue,Green,Grey,Pink,2,MEDMCQA,316
"A 26 years old female presented with mild pain in lower abdomen. She has had 2 full-term normal delivery earlier. Her last menstrual period was 3 weeks back. On pelvic examination, you find a palpable mass in the adnexa. On USG pelvis, you find a 5 cm ovarian cyst. What should be your next step?",Observation and follow-up for cyst after 2-3 months,CA-125 levels,Diagnostic exploratory laparotomy,CECT of pelvis,0,MEDMCQA,317
Which of the following is not glucogenic?,Pyruvate,Oxaloacetate,Acetyl-CoA,Lactate,2,MEDMCQA,318
Which of the following cements are not be used to cement acrylic temporary crown:,Zinc oxide eugenol,Zinc phosphate,Glass ionomer,None of the above,2,MEDMCQA,319
"Provision of WHO mental action gap are all, except:",Human rights,Communication regarding care and career,Screening family members,Social suppo,2,MEDMCQA,320
Method of choice for a New born child not passing urine for 36 hours :,Ultrasound of kidney & bladder,CT Scan,Cystoscopy,X–ray pelvis,0,MEDMCQA,321
Folic acid deficiency occurs in:,Aspirin,Phenytoin,Chloromphenicol,Cyclosporine,1,MEDMCQA,322
Which material is the most difficult to remove from the patient's mouth?,Metallic oxide paste,Silicone impression material,Reversible hydrocolloid,Impression plaster,0,MEDMCQA,323
Amalgam restorations give the best clinical service when the residual mercury content is:,38-42%,48-52%,58-62%,68-72%,1,MEDMCQA,324
Among the following solvent which of the following is safest and effective gutta percha solvent?,Terpentine,Choloroform,Methylchioroform,Halothane,1,MEDMCQA,325
HOX gene is responsible for which malformation,Polysyndactyly,Holoprosencephaly,Mayer Rokitansky syndrome,Gorlin syndrome,0,MEDMCQA,326
Odontogenic keratocyst has the following feature,Occurs due to infection periapically,Is developmental in origin,Can be treated by aspiration,Has low recurrence rate,1,MEDMCQA,327
Best fluid for factor VIII replacement is:,fresh whole blood,cryoprecipitate,FFP,Platelet concentrate,1,MEDMCQA,328
"Patient's cross-infection with sensor, in digital radiography/RVG is prevented by",Cover with autoclaved cloth with each use,Wipe with ethyl alcohol in each patient,Clean with 5.25% sodium hypochlorite in each patient,Cover with impervious barrier,3,MEDMCQA,329
"To remove centric interference, reduce:",Supporting cusps,Central fossa,Both of the above,None,1,330
"When force are applied on lateral surface at angle region, compression is generated on:",Superior surface,Lateral surface,Inferior surface,Medial surface,1,MEDMCQA,331
"Among a 100 women with average Hb of 10 gm%, the standard deviation was 1, what is the standard error?",0.01,0.1,1,10,1,MEDMCQA,332
"Patient with PPF transfusion complaint of breathing difficulty, tachycardic, tachypnia, Had Batwing sign present in X-ray. What will be the possible reason?",Transfusion related lung injury,Due to overload of PPF,Acute renal tubular acidosis,Hemoglobinuria,1,MEDMCQA,333
"2nd optimal landmark for termination of cleaning, shaping and obturation is",Apical constriction,Cementodentinal junction,Major diameter,None of the above,0,MEDMCQA,334
High molecular weight proteins in cataractous lens seen only in humans:,HM 1 and 2,HM 2 and 3,HM 2 and 4,HM 3 and 4,3,MEDMCQA,335
Free gingival groove represents,Histologic depth of gingival sulcus,False pocket depth,Depth of gingival sulcus,None of the above,0,MEDMCQA,336
Which is the most common site for congenital cholesteatoma,Anterior superior quadrant of tympanic membrane,Posterior superior quadrant of tympanic membrane,Anterior inferior quadrant of tympanic membrane.,posterior inferior quadrant of tympanic membrane,0,MEDMCQA,337
"A traumatized tooth nonvital with or without crown
fracture is classified as",Class-III,Class-IV,Class -V,Class-VII,1,MEDMCQA,338
"""Cut back"" incision made on laterally displaced flap is:",Mesial cut toward the donor site,Distal cut toward the donor site,Mesial cut toward the recipient site,Distal cut toward the recipient site,3,MEDMCQA,339
"In Myocardial infarction, the major pathology is",Ischemia caused by dynamic obstruction of a coronary artery.,Myocardial necrosis caused by acute occlusion of a coronary artery.,Ischemia due to fixed atheromatous stenosis of one or more coronal artery.,Altered conduction due to ischemia or infarction.,1,MEDMCQA,340
The virus HIV is produced and propagated in:,Dendritic cells of the lymphnode germinal epithelium,Circulating T4 lymphocytes,B- lymphocytes,Epithelial cells of the sex organs,1,MEDMCQA,341
All the following are true about imaging in primary survey of a trauma patient except:,Cervical X-ray is not mandatory,Chest X-ray and pelvic X-ray are taken as a pa of primary survey,Hemodynamically unstable patients should not be sent for CT scan,All patients should have chest X-ray-PA view only,3,MEDMCQA,342
"When it is made up of same steel, size 55, which will be more prone to fracture:",Triangular reamer,Rhomboid cross section file,Square cross section file,Headstrom file,3,MEDMCQA,343
Microaneurysms are the earliest manifestation of diabetic retinopathy. Which of the following layer is involved in diabetic etinopathy?,Outer plexiform layer,Inner nuclear layer,Layer of rods and cones,Retinal pigment epithelium,1,MEDMCQA,344
Absorption of fluoride in child takes place mainly in,Intestine,Lungs,Oral cavity,Gingiva,0,MEDMCQA,345
Cleaning of files in between of endodontic treatment is done by:,Gauze soaked in hypochlorite solution,15 seconds in glass bead sterilizer,30 seconds in glass bead sterilizer,Chlorhexidine,0,MEDMCQA,346
"All of the following are complications of supracondylar fracture of humerus in children,except -",Compartment syndrome,Myositis ossificans,Malunion,Non-Union,3,MEDMCQA,347
Dental plaque adheres to the tooth because:,Levans are gummy,Dextrans are insoluble and sticky,Plaque grows into the irregularities,Microorganisms produce sticky lipoproteins,1,MEDMCQA,348
"A 10–month old baby previously normal, suddenly becomes distressed in his crib. The external appearance of genitalia was normal, except hyperpigmentation. lood glucose showed a level of 30 mg%. What is the most probable diagnosis ?",21 hydroxylase deficiency,Hyperinsulinism,Familial glucocorticoid deficiency,Cushing's syndrome,2,MEDMCQA,349
In which of the following areas is the alveolar process the thinnest:,Lingual to the maxillary central incisors,Buccal to the mandibular central incisors,Lingual to the maxillary canines,Lingual to the mandibular first molar,1,MEDMCQA,350
In genomic imprinting. DNA is modified by:,Acetylation,Methylation,Phosphorylation,Deamination,1,MEDMCQA,351
The definition of pyrexia of unknown origin includes all except:,Diagnosis requires fever persisting for 3 weeks,Fever undiagnosed after 1 week of in-patient workup,Absence of immunological compromise,Temperature of 38.3degC or more,1,MEDMCQA,352
Low insulin to glucagon ratio is seen in all of these except:,Glycogen synthesis,Glycogen breakdown,Gluconeogenesis,Ketogenesis,0,MEDMCQA,353
Which type of prefabricated post preparation system in mandibular molar is preferred?,"Tapered, screwed in","Parallel, screwed in","Tapered, passively cemented","Parallel, partially cemented",3,MEDMCQA,354
"In which of the following, long spaced collagen present?",Diaphragm,Cornea,Basement membrane,Tympanic membrane,1,MEDMCQA,355
"A Patient presented to emergence after A with multiple rib fractures. He is conscious speaking single words. On examination, respiratory rate was 40/minute and BP was 90/40 mmHg. What is immediate next step?",Urgent IV fluid administration,Intubate the patient,Chest X-ray,Needle inseion in 2nd intercostal space,3,MEDMCQA,356
High angle case is:,FMIA > 65,IMP > 100,FMP > 35°,SNA >4°,2,MEDMCQA,357
Mucocutaneous circumoral pigmentation is found in:,Peutz-Jeghers syndrome,Plummer-Vinson syndrome,Lead poisoning,Bechet's syndrome,0,MEDMCQA,358
"""Hair-on-end"" appearance in a skull roentgenogram is
seen in :",Fibrous dysplasia,Thalassemia,Garre's Osteomyelitis,Pagets disease,1,MEDMCQA,359
Which of the following is not used in DIC?,Heparin,Epsilon amino caproic acid,Blood transfusion,Intravenous fluids.,1,MEDMCQA,360
Alginate fillers derived from,Calcium sulphate,Sodium phosphate,Potassium alginate,Diatomaceous earth,3,MEDMCQA,361
"Nowadays, swine flu is in news, it is considered as",Pandemic,Epidemic,Endemic,Seasonal variation,0,MEDMCQA,362
What is the cause of delirium tremens in alcoholics?,Fatty liver,Abrupt cessation of heavy and prolonged consumption of alcohol,Gradual withdrawal of alcohol,Small doses of consumption,1,MEDMCQA,363
Strength of collagen is due to:,Hydroxy glycine,Glycine,Praline,Hydroxyproline,3,MEDMCQA,364
Core built up on a molar tooth should preferably be done with a chemically cured composite as:,Light cure resin lacks sufficient strength for a core,Core made with a light cure resin would be too opaque and esthetically unacceptable,core made with a light cure resin would be too brittle and would fracture easily,Its lower viscosity allows free flow of resin also around pins and post,3,MEDMCQA,365
Absolute refractoriness of a neuron is due to?,Closure of activated Na channels,Closure of inactivated Na channels,Hyperpolarization of CI channels,Opening of rectifier K + channels,1,MEDMCQA,366
Latest drug reccntly approved for Amyotrophic Lateral sclerosis is?,Piracetam,Ceftriaxone,Edaravone,Doxycycline,2,MEDMCQA,367
Topical treatment for recurrent respiratory papillomatosis includes:,Acyclovir,Cidofovir,Ranitidine,Zinc,1,MEDMCQA,368
"A 8 year old child presented with cough and fever since 15 days. On auscultation, decreased air entry was found on right side. A CXR was done and shown below. What is the most likely diagnosis?",Consolidation,Abscess,Hydatid Cyst,Congenital. AV Malformation,0,MEDMCQA,369
Characteristic histopathological feature of basal cell car cinoma is,Nuclear palisading,Keratin pearls,Psammoma bodies,Foam cells,0,MEDMCQA,370
A Jawan posted in Siachen was brought to the emergency depament with hypothermia. Which is the ideal site to measure his temperature?,Oral,Rectal,Tympanic membrane,Armpit,1,MEDMCQA,371
Which of the following drug is not used for medical management of ectopic pregnancy:,Potassium Chloride,Methotrexate,Actinomycin D,Misoprostol,3,MEDMCQA,372
Ability of a bur blade to describe a complete circle during rotation is called as:,Concentricity.,Staticity.,Run out.,Symmetry,2,MEDMCQA,373
NN hick of the following tractions is not used in lower limb?,Gallows,Bryant,Dunlop,Perkin,2,MEDMCQA,374
"A 16-year-old male complains of nasal obstruction and recurrent epistaxis for several months. On CT scan of Nose and Paranasal Sinuses, an enhancing mass is seen in the nasopharynx with minimal extension into sphenoid sinus and no lateral extension. What is the stage of this lesion?",IA,IB,IIA,IIB,1,MEDMCQA,375
Tuberculin test is a cheap and easily available test. In which of the following situations there is high failure in the interpretation of the test?,High percentage of immunized people,HIV cases are less,High prevalence of disease,Environmental mycobacterium infections are less,0,MEDMCQA,376
IOTN is not used for which malocclusion?,Open bite,CLP,Bimaxillary protrusion,Crowding,2,MEDMCQA,377
Rampant caries should be applied to a caries rate of:,5 or more new lesions per year.,7 or more new lesions per year.,10 or more new lesions per year.,15 or more new lesions per year.,2,MEDMCQA,378
Which of the following is not characteristic feature of Binder syndrome?,Acute naso-labial angle,Flat nasal bridge,Class III malocclusion,Class II malocclusion,3,MEDMCQA,379
Dapsone is used for treatment of bacterial and fungal infections as well as for immunomodulatory actions. What is mechanism of dapsone for these indication?,Inhibition of cell wall synthesis,Inhibition of ergosterol in cell membranes,Inhibition of protein synthesis,Competition with PABA in folic acid synthesis,3,MEDMCQA,380
Vasopressor of choice in pregnancy is:,Ephedrine,Phenylephrine,Methoxamine,Mephentermine,0,MEDMCQA,381
Buccopharyngeal membrane is composed of:,Ectoderm.,Endoderm.,Mesoderm,Both AB,3,MEDMCQA,382
A pregnant female with known cardiac disease presents to you in the first trimester with history of warfarin embryopathy what should be advised now?,Continue warfarin throughout the pregnancy,Replace warfarin with heparin in First trimester,Give acicoumarin,Use LMW heparin,1,MEDMCQA,383
This direction of force can cause:,Reduce overbite,Worsen open bite,Both,None,2,MEDMCQA,384
Magnesium is needed for the activity of which enzyme?,Phosphatase,Aldolase,Dismutase,ATPase,3,MEDMCQA,385
Which of the following change can be done in insulin structure so that there is least change in the function of insulin:,Interchange of A1 & A4,Interchange of B29 and B30,Interchange of A5 & A6,Breaking disulphide linkages,1,MEDMCQA,386
Chemotactic cytokine is,IL-1,IL-6,IL-8,TNF,2,MEDMCQA,387
Halo effect surrounding the root of tooth on IOPA X-Ray is seen with?,Horizontal root fracture,Root caries,Widening of periodontal ligament space,Periapical-periostitis,3,MEDMCQA,388
Major determinant of loading dose of a drug is:-,Half life,Clearance,Volume of distribution,Bioavailability,2,MEDMCQA,389
Which of the following type of behavior is seen in stubborn child:,Obstinate.,Timid.,Whinning.,Hysterical.,0,MEDMCQA,390
Asymmetrical union of sutures resuting in twisted skull known as:,Plagiocephaly.,Anencephaly.,Scaphocephaly.,Solicocephaly.,0,MEDMCQA,391
Low grade infection which leads to localized periosteal reaction is:,Garre's osteomyelitis,Acute osteomyelitis,Condensing csteitis,Local alveolar osteitis,0,MEDMCQA,392
"Best medium to transport/store an avulsed tooth, which is not to be reimplanted immediately? (OR) the medium which maintains the vitality of PDl and thus indicated for long duration transport of an avulse tooth",Viaspan,Hanks balanced salt solution,Coconut water,Milk,0,MEDMCQA,393
Mesial and distal wall of class V cavity depends on:,Direction of enamel rods,Presence of carious lesion,Contour of gingiva,Location of contact area,0,MEDMCQA,394
A middle-aged man comes after a road traffic accident with bleeding from the scalp. He is unconscious. A card in his pocket reveals that he is a known diabetic on Tab Glimepiride + Metformin 2 tablets twice daily. What should the next step in management?,"Send blood for tests, sta IV glucose and send to CT",Sta normal saline and send to CT,"Dextrose solution, CT scan","Airway, CT scan. Blood sugar if <70 sta dextrose",3,MEDMCQA,395
"A patient is giving; history of avulsed tooth 20 minutes back, comes to dentist what should be done?",Scrub the tooth and reimplant,Rinse with saline and reimplant,Sterilize tooth and reimplant,Scrub the tooth do RCT and reimplant,1,MEDMCQA,396
All of the following drugs require dose reduction in renal failure except?,Amphotericin B,Vancomycin,Gentamicin,Doxycycline,3,MEDMCQA,397
An investigator wants to study the association between maternal intake of iron supplements (Yes or No) and birth weights (in gm) of new born babies. He collects relevant data from 100 pregnant women and their newborns. What statistical test of hypothesis would you advise for the investigator in this situation?,Chi-square test,Unpaired or independent t - test,Analysis of variance,Student t — test,1,MEDMCQA,398
"At physiological pH, which of these amino acids has a positive charge?",Valine,Aspaic acid,Arginine,Isoleucine,2,MEDMCQA,399
Dustless alginate is produced by,Reducing the diatomaceous earth,Adding heavy metal salts,Coating with dihydric alcohol,Altering the matrix,2,MEDMCQA,400
"An 8 year old boy during a routine checkup is found to have E. coli 1,00,000 cc/ml on a urine culture. The urine specimen was obtained by mid–stream clean–catch void. The child is asymptomatic. Which is the most appropriate next step in the management –",Treat as an acute episode of urinary tract infection,No therapy,Prophylactic antibiotics for 6 months,Administer long term urine alkalinizer,0,MEDMCQA,401
Which of the following structure is disrupted by Vibrio cholerae?,Hemi desmosome,Gap junctions,Zona occludens,Zona adherens,2,MEDMCQA,402
Manufaeturer of a drug company labels that the drug contains 500 mg of paracetamol. On analysis' if was found to contain only 200 mg of drug. Which type of drug it is known as?,Counterfeit drug,Adulterant drug,Spurious drug,Unethical drug,0,MEDMCQA,403
Which of the following malignancy is least commonly associated with lymphatic spread ?,Basal Cell Carcinoma,Squamous cell Carcinoma,Malignant melanoma,Merkel cell Carcinoma,0,MEDMCQA,404
